# coding: utf-8
# 用户词库
# 与系统词条重码时居后，如想居前，请把词条放到flypy_top.txt文件内
# 
# 编码格式：字词+Tab符+编码（用户词库本身有重码则还需后面+Tab符+权重，权重大者居前，权重数字随意）
#
#    -------- 强调一下 --------
# 
#   词条和编码之间的不是空格，而是Tab符
#   按住键盘 G 键，切换到功能键盘，使用上面的Tab键
# 
#    -------------------------------
# 
# 系统次选词放在flypy_sys.txt文件内，可修改删除
# 简词补全放本文件内，不需要可删除
# 用户词库，下行开始添加，编码格式见上，部署后生效

# 自定义用户词汇
可视化	kuh
杂质	zavi
造反	zcfj
造就	zcjq
糟了	zcle
早起	zcqi
宰客	zdke
字符	zifu
自贡	zigs
资深	ziuf
资讯	zixy
作假	zojx
做了	zole
踪迹	zsji
宗旨	zsvi
纵向	zsxl
纵有	zsyz
阻止	zuvi
走近	zzjb
博而不精	bebj
白日飞升	brfu
不着边际	bvbj
嘟嘟囔囔	ddnn
分门别类	fmbl
飞扬跋扈	fybh
隔岸观火	gagh
高屋建瓴	gwjl
花繁叶茂	hfym
金发碧眼	jfby
将功补过	jgbg
将计就计	jjjj
济济一堂	jjyt
迷迷糊糊	mmhh
美若天仙	mrtx
卖主求荣	mvqr
破破烂烂	ppll
千娇百媚	qjbm
人欢马叫	rhmj
扰人清梦	rrqm
条条框框	ttkk
甜甜蜜蜜	ttmm
头痛欲裂	ttyl
首当其冲	udqi
深情厚谊	uqhy
时日无多	urwd
食色性也	usxy
生死攸关	usyg
我必犯人	wbfr
为期不远	wqby
万丈深渊	wvuy
毋庸讳言	wyhy
霞光万道	xgwd
有法必依	yfby
一飞冲天	yfit
一清二白	yqeb
一物降一物	ywxw
余情未了	yqwl
自毁长城	zhii
自取其辱	zqqr
在情在理	zqzl
毕其功于一役	bqgy
百思不得其解	bsbj
狗咬吕洞宾	gylb
横挑鼻子竖挑眼	htby
回头一笑百媚生	htyu
吃香的喝辣的	ixdd
临时抱佛脚	lubj
摸着石头过河	mvuh
哪能不湿鞋	nnbx
年年岁岁花相似	nnss
哪有不湿鞋	nybx
十年生死两茫茫	unum
睁只眼闭只眼	vvyy
无规矩不成方圆	wgjy
香港中文大学	xgvx
一个天上一个地下	ygtx
一亩三分地	ymsd
一年之计在于春	ynvi
远亲不如近邻	yqbl
一朝权在手	yvqu
一问三不知	ywsv
彩蛋	cddj
过渡	godu
好吗	hcma
何时	heui
哪边	nabm
哪次	naci
哪点	nadm
哪儿	naer
哪个	nage
哪里	nali
哪天	natm
哪种	navs
哪位	naww
哪些	naxp
哪样	nayh
倒是	dcui
登陆	dglu
低效	dixn
胆子	djzi
反查	fjia
高速	gcsu
高效	gcxn
国情	goqk
官网	grwh
活着	hove
话费	hxfw
超卖	icmd
卖点	mddm
卖家	mdjx
卖票	mdpn
卖主	mdvu
明明	mkmk
每期	mwqi
没人	mwrf
赏赐	uhci
谁知	uvvi
稳健	wfjm
拥护	yshu
宗师	zsui
按理	anli
黯然	anrj
暗自	anzi
五笔	wubi
座位	zoww
